Check Number,Check Category,Check Description,Check Query,Check Table Name,Check Column Name,Check Status,Rows Scanned,Rows Failed,Check Run Date,Remarks
8867,accuracy,Check for accuracy,SELECT * FROM refunds WHERE condition,users,column_7,fail,537,376,2023-03-30 06:52:52,
2672,accuracy,Check for accuracy,SELECT * FROM sales WHERE condition,product_webinars,column_10,pass,304,183,2023-07-08 12:13:57,
7080,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,refunds,column_3,fail,186,168,2023-01-09 10:51:15,Remark
2455,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,purchase_transactions,column_10,pass,105,94,2023-10-17 08:03:30,
7824,datafreshness,Check for datafreshness,SELECT * FROM refunds WHERE condition,admins,column_8,fail,344,315,2023-02-05 04:32:42,
678,uniqueness,Check for uniqueness,SELECT * FROM invoices WHERE condition,product_webinars,column_6,pass,603,348,2023-04-12 02:40:51,
7376,consistency,Check for consistency,SELECT * FROM users WHERE condition,discounts,column_2,fail,957,725,2023-04-20 03:12:33,Remark
4166,uniqueness,Check for uniqueness,SELECT * FROM users WHERE condition,purchase_transactions,column_6,pass,836,361,2023-10-11 18:51:20,Remark
5873,uniqueness,Check for uniqueness,SELECT * FROM payments WHERE condition,users,column_7,fail,411,406,2023-08-23 02:55:35,
8931,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,users,column_7,pass,95,16,2023-01-20 16:51:08,Remark
3228,completeness,Check for completeness,SELECT * FROM payments WHERE condition,refunds,column_2,pass,684,443,2023-05-04 06:13:38,Remark
340,accuracy,Check for accuracy,SELECT * FROM products WHERE condition,invoices,column_7,pass,165,115,2023-01-05 05:16:42,
44,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,discounts,column_1,pass,379,27,2023-09-17 08:28:08,
3706,uniqueness,Check for uniqueness,SELECT * FROM invoices WHERE condition,invoices,column_10,fail,755,670,2023-07-28 07:27:00,Remark
8146,datafreshness,Check for datafreshness,SELECT * FROM product_webinars WHERE condition,invoice_payments,column_1,pass,134,54,2023-04-01 03:24:50,
2301,accuracy,Check for accuracy,SELECT * FROM users WHERE condition,refunds,column_9,pass,605,444,2023-06-25 23:43:37,Remark
6480,accuracy,Check for accuracy,SELECT * FROM admins WHERE condition,refunds,column_9,fail,721,534,2023-03-23 20:10:19,
4907,datafreshness,Check for datafreshness,SELECT * FROM invoices WHERE condition,discounts,column_7,pass,470,292,2023-08-09 03:31:31,
6434,completeness,Check for completeness,SELECT * FROM product_webinars WHERE condition,discounts,column_5,pass,841,321,2023-08-11 15:38:33,Remark
8417,completeness,Check for completeness,SELECT * FROM products WHERE condition,products,column_2,fail,331,39,2023-10-06 03:37:11,Remark
5586,accuracy,Check for accuracy,SELECT * FROM invoice_payments WHERE condition,sales,column_6,pass,571,201,2023-08-10 16:56:36,
300,accuracy,Check for accuracy,SELECT * FROM invoices WHERE condition,admins,column_8,pass,530,20,2023-07-14 01:00:12,
4495,datafreshness,Check for datafreshness,SELECT * FROM invoices WHERE condition,invoice_payments,column_5,pass,968,762,2023-06-05 21:09:27,Remark
7812,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,users,column_10,fail,110,43,2023-09-27 07:37:22,
2517,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,invoices,column_6,fail,640,226,2023-10-03 14:07:28,
9031,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,invoices,column_8,pass,86,22,2023-08-03 16:18:08,
4113,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,purchase_transactions,column_1,fail,687,349,2023-03-09 14:00:07,Remark
7801,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,product_webinars,column_5,fail,947,276,2023-10-22 07:33:50,Remark
1231,completeness,Check for completeness,SELECT * FROM users WHERE condition,invoice_payments,column_8,pass,368,315,2023-04-25 09:42:12,Remark
8047,accuracy,Check for accuracy,SELECT * FROM products WHERE condition,orders,column_4,fail,990,238,2023-02-14 02:02:49,
6227,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,subscribers,column_10,pass,333,13,2023-09-21 09:08:19,
7524,completeness,Check for completeness,SELECT * FROM payments WHERE condition,admins,column_3,fail,106,89,2023-10-26 05:39:21,Remark
9208,accuracy,Check for accuracy,SELECT * FROM invoices WHERE condition,sales,column_3,pass,11,4,2023-06-14 07:39:05,Remark
1118,completeness,Check for completeness,SELECT * FROM products WHERE condition,refunds,column_6,fail,343,118,2023-01-19 08:41:53,
7246,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,users,column_7,fail,44,33,2023-03-20 19:40:23,
9199,consistency,Check for consistency,SELECT * FROM users WHERE condition,admins,column_9,fail,154,61,2023-08-11 03:52:42,Remark
8859,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,orders,column_8,fail,177,9,2023-05-21 01:55:04,Remark
5598,completeness,Check for completeness,SELECT * FROM payments WHERE condition,subscribers,column_1,pass,879,784,2023-09-22 03:10:00,
2225,datafreshness,Check for datafreshness,SELECT * FROM purchase_transactions WHERE condition,refunds,column_3,pass,43,34,2023-03-05 03:48:39,
1287,consistency,Check for consistency,SELECT * FROM orders WHERE condition,product_webinars,column_3,fail,399,9,2023-05-24 09:37:49,Remark
5641,datafreshness,Check for datafreshness,SELECT * FROM invoice_payments WHERE condition,users,column_4,pass,377,188,2023-05-13 22:57:59,
9416,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,sales,column_7,pass,370,294,2023-04-08 23:45:05,
3487,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,refunds,column_3,pass,327,297,2023-08-15 07:27:16,
2712,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,products,column_5,fail,190,101,2023-06-12 13:33:35,Remark
1596,completeness,Check for completeness,SELECT * FROM orders WHERE condition,invoices,column_3,fail,459,394,2023-02-01 10:06:18,Remark
6125,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,purchase_transactions,column_3,fail,991,211,2023-03-19 13:34:53,
9539,uniqueness,Check for uniqueness,SELECT * FROM refunds WHERE condition,subscribers,column_10,pass,784,1,2023-05-22 23:23:48,
506,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,refunds,column_2,pass,398,148,2023-08-31 16:04:06,
7060,accuracy,Check for accuracy,SELECT * FROM admins WHERE condition,refunds,column_4,fail,630,496,2023-11-23 16:15:58,Remark
9829,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,subscribers,column_1,fail,181,42,2023-11-19 11:36:36,Remark
1997,datafreshness,Check for datafreshness,SELECT * FROM refunds WHERE condition,products,column_3,fail,234,183,2023-02-18 19:59:50,Remark
292,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,invoice_payments,column_6,fail,886,356,2023-07-17 07:08:26,
5117,datafreshness,Check for datafreshness,SELECT * FROM users WHERE condition,products,column_3,fail,212,95,2023-01-07 00:44:55,Remark
7072,consistency,Check for consistency,SELECT * FROM users WHERE condition,payments,column_10,fail,137,64,2023-10-08 14:18:09,
2054,uniqueness,Check for uniqueness,SELECT * FROM refunds WHERE condition,discounts,column_8,fail,915,895,2023-11-16 17:49:42,Remark
2213,accuracy,Check for accuracy,SELECT * FROM admins WHERE condition,refunds,column_7,fail,354,158,2023-11-06 17:40:59,
4754,uniqueness,Check for uniqueness,SELECT * FROM invoices WHERE condition,subscribers,column_10,pass,815,473,2023-11-10 18:00:25,
2996,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,products,column_1,fail,208,134,2023-04-24 13:59:27,Remark
1700,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,orders,column_3,pass,315,66,2023-03-05 15:03:34,Remark
3427,datafreshness,Check for datafreshness,SELECT * FROM refunds WHERE condition,invoice_payments,column_3,pass,108,16,2023-04-09 00:23:17,Remark
4646,consistency,Check for consistency,SELECT * FROM users WHERE condition,invoices,column_10,fail,111,52,2023-04-12 04:36:39,Remark
9762,datafreshness,Check for datafreshness,SELECT * FROM product_webinars WHERE condition,discounts,column_5,pass,984,568,2023-08-05 11:13:36,
487,completeness,Check for completeness,SELECT * FROM admins WHERE condition,subscribers,column_10,fail,814,325,2023-09-17 23:20:49,
1955,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,discounts,column_2,fail,892,786,2023-07-31 20:23:10,Remark
2462,accuracy,Check for accuracy,SELECT * FROM users WHERE condition,orders,column_7,fail,831,28,2023-05-25 16:39:55,Remark
8460,datafreshness,Check for datafreshness,SELECT * FROM invoice_payments WHERE condition,refunds,column_7,pass,108,79,2023-08-04 01:59:24,
3461,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,product_webinars,column_7,pass,43,5,2023-01-13 16:33:54,Remark
3405,uniqueness,Check for uniqueness,SELECT * FROM refunds WHERE condition,admins,column_2,fail,213,86,2023-02-05 03:44:06,
2252,completeness,Check for completeness,SELECT * FROM payments WHERE condition,discounts,column_3,pass,935,868,2023-05-30 09:33:03,Remark
3261,consistency,Check for consistency,SELECT * FROM users WHERE condition,product_webinars,column_5,fail,732,220,2023-07-17 21:52:19,
5947,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,product_webinars,column_4,fail,594,217,2023-08-08 20:51:30,
9277,accuracy,Check for accuracy,SELECT * FROM invoices WHERE condition,subscribers,column_2,pass,103,41,2023-05-09 09:41:37,
4637,accuracy,Check for accuracy,SELECT * FROM payments WHERE condition,invoice_payments,column_5,pass,100,50,2023-07-06 11:35:37,
5320,consistency,Check for consistency,SELECT * FROM orders WHERE condition,payments,column_3,pass,732,583,2023-01-22 01:03:44,Remark
7809,datafreshness,Check for datafreshness,SELECT * FROM product_webinars WHERE condition,payments,column_7,pass,223,159,2023-11-13 18:31:32,
5447,consistency,Check for consistency,SELECT * FROM admins WHERE condition,invoices,column_2,fail,462,103,2023-09-10 04:12:33,Remark
4291,uniqueness,Check for uniqueness,SELECT * FROM payments WHERE condition,invoice_payments,column_8,pass,618,219,2023-11-20 05:50:04,Remark
5747,uniqueness,Check for uniqueness,SELECT * FROM invoices WHERE condition,subscribers,column_3,pass,743,610,2023-07-30 08:44:41,Remark
1801,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,purchase_transactions,column_10,fail,8,4,2023-06-23 05:37:17,
6480,consistency,Check for consistency,SELECT * FROM invoices WHERE condition,refunds,column_6,pass,369,17,2023-06-15 14:41:06,
9375,datafreshness,Check for datafreshness,SELECT * FROM invoice_payments WHERE condition,users,column_1,pass,417,319,2023-04-27 19:18:31,Remark
5434,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,subscribers,column_2,fail,281,22,2023-11-07 17:51:32,Remark
729,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,discounts,column_2,pass,898,645,2023-07-24 04:26:22,
9386,datafreshness,Check for datafreshness,SELECT * FROM users WHERE condition,payments,column_10,fail,848,286,2023-02-09 02:44:08,
2961,accuracy,Check for accuracy,SELECT * FROM orders WHERE condition,product_webinars,column_4,pass,495,470,2023-08-23 20:34:34,Remark
6556,consistency,Check for consistency,SELECT * FROM users WHERE condition,product_webinars,column_9,fail,872,76,2023-03-30 17:52:49,
6453,uniqueness,Check for uniqueness,SELECT * FROM sales WHERE condition,payments,column_4,pass,160,111,2023-09-19 05:03:42,Remark
6888,completeness,Check for completeness,SELECT * FROM refunds WHERE condition,invoice_payments,column_4,pass,566,399,2023-03-02 06:18:13,Remark
9386,consistency,Check for consistency,SELECT * FROM users WHERE condition,invoices,column_7,fail,683,467,2023-08-20 14:46:30,Remark
5441,datafreshness,Check for datafreshness,SELECT * FROM payments WHERE condition,sales,column_5,pass,349,155,2023-04-04 04:20:40,Remark
4463,completeness,Check for completeness,SELECT * FROM invoice_payments WHERE condition,subscribers,column_6,fail,862,850,2023-03-22 15:44:59,
4969,completeness,Check for completeness,SELECT * FROM payments WHERE condition,sales,column_4,fail,966,546,2023-03-05 15:09:08,Remark
3488,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,products,column_4,fail,536,373,2023-06-02 09:59:02,
9590,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,discounts,column_2,pass,655,123,2023-11-10 20:29:32,Remark
4341,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,subscribers,column_4,pass,619,166,2023-11-02 12:45:24,
6815,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,subscribers,column_7,pass,274,242,2023-09-14 18:44:41,
1413,accuracy,Check for accuracy,SELECT * FROM orders WHERE condition,refunds,column_9,pass,169,85,2023-06-15 03:20:53,
8285,completeness,Check for completeness,SELECT * FROM invoice_payments WHERE condition,products,column_4,pass,276,75,2023-08-29 21:09:28,
4038,consistency,Check for consistency,SELECT * FROM users WHERE condition,admins,column_1,fail,283,154,2023-10-10 20:23:53,
6243,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,refunds,column_3,pass,172,167,2023-01-04 13:59:00,Remark
5805,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,users,column_8,pass,266,193,2023-01-23 22:55:18,Remark
7377,uniqueness,Check for uniqueness,SELECT * FROM orders WHERE condition,payments,column_2,pass,537,222,2023-09-02 04:22:52,Remark
5271,completeness,Check for completeness,SELECT * FROM payments WHERE condition,admins,column_10,pass,327,142,2023-02-03 15:23:34,
1761,uniqueness,Check for uniqueness,SELECT * FROM invoice_payments WHERE condition,users,column_8,fail,257,222,2023-03-09 07:36:58,
8633,consistency,Check for consistency,SELECT * FROM orders WHERE condition,subscribers,column_4,fail,620,544,2023-08-13 18:09:31,
896,consistency,Check for consistency,SELECT * FROM users WHERE condition,refunds,column_6,fail,466,415,2023-10-09 12:14:10,Remark
4572,datafreshness,Check for datafreshness,SELECT * FROM purchase_transactions WHERE condition,purchase_transactions,column_3,pass,659,451,2023-07-28 10:33:41,
1596,consistency,Check for consistency,SELECT * FROM orders WHERE condition,purchase_transactions,column_7,pass,552,257,2023-10-09 08:07:46,Remark
5799,completeness,Check for completeness,SELECT * FROM product_webinars WHERE condition,admins,column_1,pass,965,672,2023-06-13 07:30:49,
9433,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,invoice_payments,column_2,pass,740,466,2023-11-21 17:54:54,
6257,consistency,Check for consistency,SELECT * FROM subscribers WHERE condition,product_webinars,column_1,fail,436,142,2023-04-20 18:51:16,
1372,datafreshness,Check for datafreshness,SELECT * FROM products WHERE condition,product_webinars,column_6,pass,574,45,2023-11-20 15:14:14,
7283,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,orders,column_9,pass,737,201,2023-04-21 04:42:12,
4345,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,purchase_transactions,column_5,fail,135,9,2023-03-16 22:06:23,Remark
3392,uniqueness,Check for uniqueness,SELECT * FROM invoices WHERE condition,users,column_1,fail,447,281,2023-09-26 11:53:38,
2729,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,subscribers,column_4,fail,788,411,2023-07-14 08:08:31,Remark
9264,consistency,Check for consistency,SELECT * FROM admins WHERE condition,sales,column_6,pass,681,42,2023-06-02 18:23:15,Remark
4563,completeness,Check for completeness,SELECT * FROM payments WHERE condition,product_webinars,column_4,pass,801,503,2023-11-01 15:32:09,
3365,completeness,Check for completeness,SELECT * FROM orders WHERE condition,orders,column_8,pass,45,5,2023-03-31 23:47:18,Remark
6511,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,invoice_payments,column_1,pass,630,295,2023-10-03 18:29:52,Remark
730,datafreshness,Check for datafreshness,SELECT * FROM payments WHERE condition,invoices,column_8,fail,116,78,2023-09-19 15:33:11,Remark
1463,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,payments,column_10,pass,814,103,2023-05-20 02:22:17,Remark
3128,completeness,Check for completeness,SELECT * FROM invoices WHERE condition,admins,column_2,pass,70,55,2023-03-19 21:55:24,Remark
3349,uniqueness,Check for uniqueness,SELECT * FROM product_webinars WHERE condition,discounts,column_7,fail,965,164,2023-03-01 22:27:19,
8600,uniqueness,Check for uniqueness,SELECT * FROM sales WHERE condition,subscribers,column_6,pass,83,72,2023-10-26 03:26:22,Remark
7461,datafreshness,Check for datafreshness,SELECT * FROM payments WHERE condition,admins,column_8,fail,53,10,2023-04-08 05:50:47,Remark
8819,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,subscribers,column_10,pass,672,504,2023-01-27 17:09:23,Remark
4771,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,product_webinars,column_6,fail,635,71,2023-09-11 04:56:33,Remark
3450,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,purchase_transactions,column_8,pass,797,706,2023-07-07 01:46:46,Remark
1055,completeness,Check for completeness,SELECT * FROM discounts WHERE condition,refunds,column_4,pass,682,538,2023-04-22 02:14:58,
2904,accuracy,Check for accuracy,SELECT * FROM product_webinars WHERE condition,refunds,column_9,fail,826,568,2023-07-07 12:25:42,Remark
2971,accuracy,Check for accuracy,SELECT * FROM discounts WHERE condition,subscribers,column_6,fail,448,24,2023-09-30 10:29:12,
760,consistency,Check for consistency,SELECT * FROM subscribers WHERE condition,invoice_payments,column_2,pass,992,384,2023-07-02 10:51:56,
1918,completeness,Check for completeness,SELECT * FROM users WHERE condition,orders,column_8,pass,69,2,2023-04-08 15:50:12,
7172,consistency,Check for consistency,SELECT * FROM payments WHERE condition,payments,column_4,pass,63,57,2023-07-09 17:44:03,Remark
2484,accuracy,Check for accuracy,SELECT * FROM users WHERE condition,discounts,column_10,pass,919,57,2023-09-05 09:50:42,
6580,completeness,Check for completeness,SELECT * FROM invoice_payments WHERE condition,users,column_8,fail,820,102,2023-08-04 19:03:57,
1312,completeness,Check for completeness,SELECT * FROM admins WHERE condition,purchase_transactions,column_9,pass,868,546,2023-09-21 12:36:18,
9194,datafreshness,Check for datafreshness,SELECT * FROM invoices WHERE condition,product_webinars,column_4,pass,190,90,2023-01-27 03:53:17,
4674,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,product_webinars,column_5,pass,114,47,2023-06-04 16:02:26,
3054,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,product_webinars,column_1,fail,954,675,2023-10-17 23:53:05,Remark
3866,accuracy,Check for accuracy,SELECT * FROM users WHERE condition,users,column_1,pass,814,335,2023-02-13 12:27:44,
4666,completeness,Check for completeness,SELECT * FROM products WHERE condition,users,column_2,fail,240,67,2023-04-16 07:07:52,
2212,datafreshness,Check for datafreshness,SELECT * FROM sales WHERE condition,purchase_transactions,column_6,fail,940,374,2023-01-21 23:05:27,
6696,completeness,Check for completeness,SELECT * FROM invoice_payments WHERE condition,purchase_transactions,column_5,pass,142,125,2023-05-11 06:40:06,
3351,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,purchase_transactions,column_9,pass,166,45,2023-09-05 12:23:38,
9065,accuracy,Check for accuracy,SELECT * FROM invoices WHERE condition,admins,column_9,fail,60,40,2023-05-19 18:19:48,
7568,datafreshness,Check for datafreshness,SELECT * FROM refunds WHERE condition,payments,column_8,pass,936,453,2023-03-18 08:54:40,Remark
9959,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,admins,column_10,pass,833,434,2023-10-20 02:44:14,
5171,uniqueness,Check for uniqueness,SELECT * FROM subscribers WHERE condition,purchase_transactions,column_4,pass,872,382,2023-05-26 16:57:01,Remark
9164,completeness,Check for completeness,SELECT * FROM admins WHERE condition,admins,column_4,pass,71,48,2023-11-22 15:52:24,
3002,consistency,Check for consistency,SELECT * FROM users WHERE condition,purchase_transactions,column_7,pass,928,868,2023-02-10 06:53:31,
5978,consistency,Check for consistency,SELECT * FROM orders WHERE condition,purchase_transactions,column_8,fail,348,153,2023-10-26 01:21:46,Remark
5280,uniqueness,Check for uniqueness,SELECT * FROM admins WHERE condition,orders,column_8,pass,679,475,2023-02-24 04:53:39,Remark
8856,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,sales,column_1,pass,713,365,2023-05-07 09:33:58,
2004,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,refunds,column_1,pass,716,448,2023-09-04 20:56:09,
271,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,sales,column_4,pass,210,53,2023-09-09 12:52:43,
5835,completeness,Check for completeness,SELECT * FROM users WHERE condition,invoices,column_5,pass,348,316,2023-01-24 01:24:39,Remark
2700,uniqueness,Check for uniqueness,SELECT * FROM sales WHERE condition,admins,column_7,pass,676,466,2023-07-04 18:34:29,Remark
221,completeness,Check for completeness,SELECT * FROM users WHERE condition,sales,column_8,fail,725,7,2023-04-07 02:48:37,
1784,uniqueness,Check for uniqueness,SELECT * FROM sales WHERE condition,subscribers,column_3,fail,589,580,2023-04-29 00:20:51,Remark
92,datafreshness,Check for datafreshness,SELECT * FROM users WHERE condition,refunds,column_4,pass,610,181,2023-06-29 10:37:42,
7416,consistency,Check for consistency,SELECT * FROM users WHERE condition,product_webinars,column_1,fail,902,496,2023-05-31 20:20:20,Remark
7439,completeness,Check for completeness,SELECT * FROM refunds WHERE condition,refunds,column_9,pass,779,174,2023-08-12 11:09:19,
7333,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,invoices,column_7,pass,782,47,2023-01-13 03:42:38,Remark
6263,uniqueness,Check for uniqueness,SELECT * FROM payments WHERE condition,refunds,column_10,pass,548,204,2023-08-09 03:49:42,Remark
3184,consistency,Check for consistency,SELECT * FROM invoice_payments WHERE condition,invoices,column_9,pass,448,445,2023-08-30 16:22:14,
4199,uniqueness,Check for uniqueness,SELECT * FROM payments WHERE condition,sales,column_10,fail,841,406,2023-02-27 23:22:11,Remark
8769,uniqueness,Check for uniqueness,SELECT * FROM sales WHERE condition,invoices,column_7,fail,809,375,2023-11-24 04:36:15,Remark
5828,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,invoices,column_1,pass,948,468,2023-05-23 12:18:06,
1516,completeness,Check for completeness,SELECT * FROM users WHERE condition,subscribers,column_7,pass,601,435,2023-04-07 10:46:41,Remark
5214,accuracy,Check for accuracy,SELECT * FROM users WHERE condition,payments,column_5,pass,220,77,2023-02-03 05:57:00,
2620,consistency,Check for consistency,SELECT * FROM refunds WHERE condition,admins,column_7,fail,301,80,2023-04-04 08:40:31,Remark
115,consistency,Check for consistency,SELECT * FROM products WHERE condition,discounts,column_10,pass,4,2,2023-11-24 14:41:40,Remark
4386,consistency,Check for consistency,SELECT * FROM product_webinars WHERE condition,product_webinars,column_3,fail,313,69,2023-03-13 20:01:44,Remark
6610,completeness,Check for completeness,SELECT * FROM purchase_transactions WHERE condition,products,column_8,fail,182,152,2023-06-26 06:39:53,
4327,uniqueness,Check for uniqueness,SELECT * FROM discounts WHERE condition,subscribers,column_8,pass,351,251,2023-05-14 04:48:28,
5298,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,discounts,column_8,pass,96,95,2023-07-27 16:49:15,Remark
4844,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,purchase_transactions,column_8,pass,355,347,2023-06-23 13:24:54,Remark
8953,accuracy,Check for accuracy,SELECT * FROM subscribers WHERE condition,product_webinars,column_6,pass,363,11,2023-08-18 20:42:04,Remark
8257,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,payments,column_1,fail,528,199,2023-08-23 23:35:22,
1881,datafreshness,Check for datafreshness,SELECT * FROM subscribers WHERE condition,sales,column_9,pass,269,163,2023-05-12 22:49:00,
7398,consistency,Check for consistency,SELECT * FROM product_webinars WHERE condition,refunds,column_1,fail,257,246,2023-04-16 18:47:44,
4813,consistency,Check for consistency,SELECT * FROM payments WHERE condition,payments,column_8,pass,250,196,2023-04-16 03:38:18,Remark
3087,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,purchase_transactions,column_3,pass,808,393,2023-03-17 04:48:09,
9890,consistency,Check for consistency,SELECT * FROM subscribers WHERE condition,orders,column_8,fail,630,81,2023-10-16 21:05:20,
5042,consistency,Check for consistency,SELECT * FROM users WHERE condition,users,column_6,pass,971,460,2023-04-23 17:13:37,Remark
8068,uniqueness,Check for uniqueness,SELECT * FROM invoices WHERE condition,payments,column_9,fail,544,111,2023-09-01 07:58:29,Remark
6435,completeness,Check for completeness,SELECT * FROM sales WHERE condition,product_webinars,column_3,fail,625,600,2023-05-30 09:13:23,Remark
4370,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,discounts,column_3,pass,158,23,2023-04-10 23:49:07,
3601,datafreshness,Check for datafreshness,SELECT * FROM purchase_transactions WHERE condition,admins,column_7,fail,974,888,2023-10-15 17:23:38,
8244,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,products,column_1,pass,557,420,2023-01-09 00:44:25,Remark
6967,datafreshness,Check for datafreshness,SELECT * FROM product_webinars WHERE condition,product_webinars,column_4,pass,83,43,2023-06-11 04:31:21,Remark
3513,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,orders,column_10,fail,534,480,2023-11-03 06:20:57,Remark
1605,accuracy,Check for accuracy,SELECT * FROM purchase_transactions WHERE condition,invoice_payments,column_6,fail,155,136,2023-04-17 08:24:57,
1028,uniqueness,Check for uniqueness,SELECT * FROM orders WHERE condition,invoice_payments,column_8,fail,652,522,2023-03-01 03:00:59,
9708,accuracy,Check for accuracy,SELECT * FROM discounts WHERE condition,payments,column_9,pass,472,19,2023-02-17 00:04:26,Remark
5502,uniqueness,Check for uniqueness,SELECT * FROM purchase_transactions WHERE condition,payments,column_2,fail,810,760,2023-07-08 13:26:13,
9389,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,refunds,column_8,fail,32,21,2023-07-29 03:02:47,Remark
1942,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,invoices,column_2,fail,43,37,2023-10-24 11:51:37,
5090,consistency,Check for consistency,SELECT * FROM purchase_transactions WHERE condition,products,column_4,fail,849,345,2023-09-01 10:52:00,
6105,completeness,Check for completeness,SELECT * FROM refunds WHERE condition,products,column_4,fail,427,289,2023-10-15 15:33:51,Remark
7054,uniqueness,Check for uniqueness,SELECT * FROM products WHERE condition,payments,column_3,fail,53,49,2023-03-16 13:12:31,
8118,accuracy,Check for accuracy,SELECT * FROM orders WHERE condition,sales,column_3,pass,698,114,2023-09-24 14:28:48,
7015,consistency,Check for consistency,SELECT * FROM product_webinars WHERE condition,users,column_3,fail,165,30,2023-06-13 11:08:21,Remark
8410,consistency,Check for consistency,SELECT * FROM discounts WHERE condition,products,column_1,pass,113,25,2023-07-23 22:38:07,
1706,datafreshness,Check for datafreshness,SELECT * FROM admins WHERE condition,sales,column_10,pass,10,2,2023-04-09 19:25:57,Remark
9513,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,invoices,column_5,pass,330,142,2023-10-24 01:16:39,
8116,consistency,Check for consistency,SELECT * FROM purchase_transactions WHERE condition,discounts,column_4,pass,130,100,2023-07-04 05:52:59,Remark
991,datafreshness,Check for datafreshness,SELECT * FROM orders WHERE condition,refunds,column_1,fail,101,6,2023-06-16 08:46:49,
2453,consistency,Check for consistency,SELECT * FROM invoices WHERE condition,sales,column_4,pass,591,460,2023-05-28 00:59:50,Remark
7754,consistency,Check for consistency,SELECT * FROM invoices WHERE condition,admins,column_2,fail,504,218,2023-05-09 16:15:05,
527,accuracy,Check for accuracy,SELECT * FROM refunds WHERE condition,refunds,column_8,fail,201,177,2023-06-23 19:46:04,
4129,consistency,Check for consistency,SELECT * FROM users WHERE condition,payments,column_6,fail,771,33,2023-06-01 20:13:20,Remark
